ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Austin,ORIGIN_CITY,
,,,Austin Bergstrom Intl,ORIGIN_NAME,
,,,Baltimore,DEST-CITY,
,,,Baltimore Washington Intl,DEST_NAME,
,,,2158,DIST,
,,,"
<script
    src=""static/bokeh_js/AUS_BWI.js""
    id=""3076e2f5-f450-4e70-a50b-bbca78ea392e""
    data-bokeh-model-id=""a3a3822f-0493-41b1-900d-8ea7b43cd6b4""
    data-bokeh-doc-id=""576a49c8-3064-40cf-bd32-a5f046638d1d""
></script>",TAG,
10.86,,,,DEP_DELAY,
2.0,,,,AVG_FLIGHTS,
17.99,,,,PERCENT_DELAYED,
9.77,,,,POS_ARR_DELAY,
9.77,18.01,Southwest Airlines ,,WN,99.9
12.0,0.0,AirTran Airways Corporation,,FL,0.1
0.0,,,,,
0.0,,,,,
0.0,,,,,
