ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Nashville,ORIGIN_CITY,
,,,Nashville Intl,ORIGIN_NAME,
,,,New Orleans,DEST-CITY,
,,,Louis Armstrong New Orleans Intl,DEST_NAME,
,,,759,DIST,
,,,"
<script
    src=""static/bokeh_js/BNA_MSY.js""
    id=""afcc162c-8b52-4afb-aeb3-c80641bc9c51""
    data-bokeh-model-id=""f9252ae1-d715-427a-8fc3-3306e4737580""
    data-bokeh-doc-id=""d943b765-13d8-4618-8e87-3a83232bb88a""
></script>",TAG,
13.03,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
20.47,,,,PERCENT_DELAYED,
12.01,,,,POS_ARR_DELAY,
12.01,20.47,Southwest Airlines ,,WN,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
