ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Nashville,ORIGIN_CITY,
,,,Nashville Intl,ORIGIN_NAME,
,,,Raleigh-durham,DEST-CITY,
,,,Raleigh Durham Intl,DEST_NAME,
,,,710,DIST,
,,,"
<script
    src=""static/bokeh_js/BNA_RDU.js""
    id=""14a79df0-6f55-46a3-9054-862ea045f926""
    data-bokeh-model-id=""8a46f719-aad4-474f-9a35-8ec18d607be7""
    data-bokeh-doc-id=""677bdc94-87fb-4314-b965-47410e8d00eb""
></script>",TAG,
12.38,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
20.38,,,,PERCENT_DELAYED,
11.1,,,,POS_ARR_DELAY,
11.1,20.38,Southwest Airlines ,,WN,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
