ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Boston,ORIGIN_CITY,
,,,General Edward Lawrence Logan Intl,ORIGIN_NAME,
,,,Philadelphia,DEST-CITY,
,,,Philadelphia Intl,DEST_NAME,
,,,450,DIST,
,,,"
<script
    src=""static/bokeh_js/BOS_PHL.js""
    id=""e3fbc696-349f-4b31-9e80-9a5f1f66a884""
    data-bokeh-model-id=""0c085b53-8202-4941-946b-a8621bba494a""
    data-bokeh-doc-id=""059d6a89-fd17-4039-9a78-f39c84e79a6c""
></script>",TAG,
9.35,,,,DEP_DELAY,
16.0,,,,AVG_FLIGHTS,
17.9,,,,PERCENT_DELAYED,
11.55,,,,POS_ARR_DELAY,
14.63,20.31,JetBlue Airways,,B6,26.99
10.7,17.77,US Airways ,,US,46.89
9.92,15.65,American Airlines ,,AA,26.13
0.0,,,,,
0.0,,,,,
