ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Boston,ORIGIN_CITY,
,,,General Edward Lawrence Logan Intl,ORIGIN_NAME,
,,,Pittsburgh,DEST-CITY,
,,,Pittsburgh Intl,DEST_NAME,
,,,797,DIST,
,,,"
<script
    src=""static/bokeh_js/BOS_PIT.js""
    id=""dac1cc54-d526-4804-8236-11a880e7c179""
    data-bokeh-model-id=""a2677633-562e-4d81-9d8b-61f5cefab394""
    data-bokeh-doc-id=""5d268bb9-74cc-4d90-8ad7-d7cdac35e6f3""
></script>",TAG,
6.69,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
12.69,,,,PERCENT_DELAYED,
7.45,,,,POS_ARR_DELAY,
7.45,12.7,JetBlue Airways,,B6,99.95
0.0,0.0,American Airlines ,,AA,0.03
0.0,0.0,US Airways ,,US,0.03
0.0,,,,,
0.0,,,,,
