ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Boston,ORIGIN_CITY,
,,,General Edward Lawrence Logan Intl,ORIGIN_NAME,
,,,Tampa,DEST-CITY,
,,,Tampa Intl,DEST_NAME,
,,,1909,DIST,
,,,"
<script
    src=""static/bokeh_js/BOS_TPA.js""
    id=""8e57fb09-e50e-4f9a-b376-d559524e93ce""
    data-bokeh-model-id=""6aa565e6-1868-443a-96e4-3a0eeed6928f""
    data-bokeh-doc-id=""eda861e9-f01b-43cc-9a78-12223f72e5f3""
></script>",TAG,
11.22,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
23.26,,,,PERCENT_DELAYED,
13.08,,,,POS_ARR_DELAY,
13.08,23.26,JetBlue Airways,,B6,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
