ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Baltimore,ORIGIN_CITY,
,,,Baltimore Washington Intl,ORIGIN_NAME,
,,,Fort Lauderdale,DEST-CITY,
,,,Fort Lauderdale Hollywood Intl,DEST_NAME,
,,,1493,DIST,
,,,"
<script
    src=""static/bokeh_js/BWI_FLL.js""
    id=""a67c00af-b870-4389-b48b-86057d7aafc9""
    data-bokeh-model-id=""8420c8e4-1217-4192-b51c-e7b32f5350ae""
    data-bokeh-doc-id=""63712c21-1d48-4adb-a0e9-38a557adefd3""
></script>",TAG,
15.09,,,,DEP_DELAY,
11.0,,,,AVG_FLIGHTS,
24.19,,,,PERCENT_DELAYED,
14.66,,,,POS_ARR_DELAY,
18.1,25.0,Spirit Air Lines,,NK,11.44
14.65,24.81,Southwest Airlines ,,WN,76.5
11.44,20.14,AirTran Airways Corporation,,FL,8.32
11.49,18.16,JetBlue Airways,,B6,3.73
0.0,,,,,
