ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Baltimore,ORIGIN_CITY,
,,,Baltimore Washington Intl,ORIGIN_NAME,
,,,Kansas City,DEST-CITY,
,,,Kansas City Intl,DEST_NAME,
,,,1552,DIST,
,,,"
<script
    src=""static/bokeh_js/BWI_MCI.js""
    id=""e7cc4def-e72c-478f-b7a4-4fcd48714a40""
    data-bokeh-model-id=""feec04dd-bbff-4ba1-8781-0c3679da5788""
    data-bokeh-doc-id=""a376deb4-3a78-4718-a02f-44c865bcba49""
></script>",TAG,
15.88,,,,DEP_DELAY,
2.0,,,,AVG_FLIGHTS,
24.68,,,,PERCENT_DELAYED,
14.36,,,,POS_ARR_DELAY,
14.57,24.94,Southwest Airlines ,,WN,97.13
7.29,16.0,AirTran Airways Corporation,,FL,2.87
0.0,,,,,
0.0,,,,,
0.0,,,,,
