ARR_DELAY,DELAY_15,TEXT_DATA,UNIQUE_CARRIER,count,Description
,,Charlotte,ORIGIN_CITY,,
,,Charlotte Douglas Intl,ORIGIN_NAME,,
,,Nashville,DEST-CITY,,
,,Nashville Intl,DEST_NAME,,
,,528,DIST,,
,,"
<script
    src=""static/bokeh_js/CLT_BNA.js""
    id=""4acf7547-c350-4b50-a9cf-0f38d8d831b6""
    data-bokeh-model-id=""fdef7a3e-51b3-4a19-956b-341bf89cd17c""
    data-bokeh-doc-id=""18a8cdaf-c6a2-4715-898c-34385e224309""
></script>",TAG,,
7.39,,,DEP_DELAY,,
4.0,,,AVG_FLIGHTS,,
15.94,,,PERCENT_DELAYED,,
8.65,,,POS_ARR_DELAY,,
24.0,100.0,,EV,0.02,ExpressJet Airlines 
12.66,21.35,,YV,2.02,Mesa Airlines 
9.58,16.58,,AA,39.25,American Airlines 
7.9,15.33,,US,58.14,US Airways 
6.24,12.0,,WN,0.57,Southwest Airlines 
