ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Charlotte,ORIGIN_CITY,
,,,Charlotte Douglas Intl,ORIGIN_NAME,
,,,Columbus,DEST-CITY,
,,,Port Columbus Intl,DEST_NAME,
,,,559,DIST,
,,,"
<script
    src=""static/bokeh_js/CLT_CMH.js""
    id=""882f2a5f-6945-48dc-b04a-95088dc18ea5""
    data-bokeh-model-id=""112fc778-e516-4413-ae97-0517b63ac110""
    data-bokeh-doc-id=""8db1bfb9-1537-4fa5-a129-44666ac4d229""
></script>",TAG,
8.07,,,,DEP_DELAY,
1.0,,,,AVG_FLIGHTS,
18.61,,,,PERCENT_DELAYED,
10.01,,,,POS_ARR_DELAY,
11.39,22.25,Mesa Airlines ,,YV,60.25
7.98,13.2,US Airways ,,US,39.43
0.5,0.0,American Airlines ,,AA,0.32
0.0,,,,,
0.0,,,,,
