ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Charlotte,ORIGIN_CITY,
,,,Charlotte Douglas Intl,ORIGIN_NAME,
,,,Las Vegas,DEST-CITY,
,,,Mc Carran Intl,DEST_NAME,
,,,3077,DIST,
,,,"
<script
    src=""static/bokeh_js/CLT_LAS.js""
    id=""a4fdcd7d-8409-44ed-a172-1dad07614c48""
    data-bokeh-model-id=""c33e83ed-ea57-4859-9444-c654d0a299c7""
    data-bokeh-doc-id=""da2e86bf-bb82-4b6b-a29c-448dfe96ca76""
></script>",TAG,
10.18,,,,DEP_DELAY,
5.0,,,,AVG_FLIGHTS,
21.0,,,,PERCENT_DELAYED,
11.5,,,,POS_ARR_DELAY,
11.78,22.97,US Airways ,,US,60.49
11.08,17.98,American Airlines ,,AA,39.51
0.0,,,,,
0.0,,,,,
0.0,,,,,
