ARR_DELAY,DELAY_15,TEXT_DATA,UNIQUE_CARRIER,count,Description
,,Charlotte,ORIGIN_CITY,,
,,Charlotte Douglas Intl,ORIGIN_NAME,,
,,New York,DEST-CITY,,
,,La Guardia,DEST_NAME,,
,,875,DIST,,
,,"
<script
    src=""static/bokeh_js/CLT_LGA.js""
    id=""0ddef455-b0cd-4b66-8170-1c5e33c4f285""
    data-bokeh-model-id=""f417a170-4b86-405a-a0c8-ee04e986109b""
    data-bokeh-doc-id=""5635e32b-da8b-4782-8deb-7b9a44358a9e""
></script>",TAG,,
14.03,,,DEP_DELAY,,
12.0,,,AVG_FLIGHTS,,
26.08,,,PERCENT_DELAYED,,
16.12,,,POS_ARR_DELAY,,
27.9,33.1,,EV,12.27,ExpressJet Airlines 
15.23,26.26,,AA,31.63,American Airlines 
16.12,25.54,,MQ,6.26,Envoy Air
15.76,25.23,,YV,0.85,Mesa Airlines 
13.76,24.29,,US,48.86,US Airways 
