ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Columbus,ORIGIN_CITY,
,,,Port Columbus Intl,ORIGIN_NAME,
,,,Phoenix,DEST-CITY,
,,,Phoenix Sky Harbor Intl,DEST_NAME,
,,,2684,DIST,
,,,"
<script
    src=""static/bokeh_js/CMH_PHX.js""
    id=""d1ac1262-6125-4f29-ad2c-abae791f03f8""
    data-bokeh-model-id=""0fba7f2c-3d73-4426-99f3-b39995cbdfe7""
    data-bokeh-doc-id=""8bd04ba0-d4e6-48c4-87fe-77a8dc6763c0""
></script>",TAG,
7.49,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
15.26,,,,PERCENT_DELAYED,
8.07,,,,POS_ARR_DELAY,
8.4,17.29,US Airways ,,US,37.59
7.9,14.91,Southwest Airlines ,,WN,39.06
7.84,12.59,American Airlines ,,AA,23.35
0.0,,,,,
0.0,,,,,
