ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Dallas,ORIGIN_CITY,
,,,Dallas Love Fld,ORIGIN_NAME,
,,,Atlanta,DEST-CITY,
,,,Hartsfield Jackson Atlanta Intl,DEST_NAME,
,,,1158,DIST,
,,,"
<script
    src=""static/bokeh_js/DAL_ATL.js""
    id=""c5d1975d-13ca-4f8c-a94f-e6e6aa8d7a2e""
    data-bokeh-model-id=""22740f28-1420-46b4-81fe-e5f555958f45""
    data-bokeh-doc-id=""ebb10f3c-32fb-4fcd-a558-f79cfc287a3c""
></script>",TAG,
13.5,,,,DEP_DELAY,
7.0,,,,AVG_FLIGHTS,
19.21,,,,PERCENT_DELAYED,
12.75,,,,POS_ARR_DELAY,
16.73,23.87,ExpressJet Airlines ,,EV,24.2
12.74,22.6,Southwest Airlines ,,WN,37.52
10.24,12.93,Delta Air Lines ,,DL,38.28
0.0,,,,,
0.0,,,,,
