ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Dallas,ORIGIN_CITY,
,,,Dallas Love Fld,ORIGIN_NAME,
,,,Columbus,DEST-CITY,
,,,Port Columbus Intl,DEST_NAME,
,,,1478,DIST,
,,,"
<script
    src=""static/bokeh_js/DAL_CMH.js""
    id=""aabb2bc7-1171-4165-ac84-d56dc57e2df1""
    data-bokeh-model-id=""057979c8-337c-463a-9e0f-16fc64eb7c40""
    data-bokeh-doc-id=""fbbb787e-ce10-401e-a79c-6dff2548d713""
></script>",TAG,
14.02,,,,DEP_DELAY,
0.0,,,,AVG_FLIGHTS,
20.98,,,,PERCENT_DELAYED,
12.63,,,,POS_ARR_DELAY,
12.63,20.98,Southwest Airlines ,,WN,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
