ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Dallas,ORIGIN_CITY,
,,,Dallas Love Fld,ORIGIN_NAME,
,,,Orlando,DEST-CITY,
,,,Orlando Intl,DEST_NAME,
,,,1565,DIST,
,,,"
<script
    src=""static/bokeh_js/DAL_MCO.js""
    id=""07aa4020-5315-4266-820b-76ec3e19a720""
    data-bokeh-model-id=""d7d921a8-de6e-4f1f-ad23-c78024d807d1""
    data-bokeh-doc-id=""017dcc3e-d08f-43f4-bbbc-80933c910fcc""
></script>",TAG,
13.15,,,,DEP_DELAY,
2.0,,,,AVG_FLIGHTS,
21.01,,,,PERCENT_DELAYED,
12.68,,,,POS_ARR_DELAY,
12.68,21.01,Southwest Airlines ,,WN,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
