ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Dallas,ORIGIN_CITY,
,,,Dallas Love Fld,ORIGIN_NAME,
,,,New Orleans,DEST-CITY,
,,,Louis Armstrong New Orleans Intl,DEST_NAME,
,,,702,DIST,
,,,"
<script
    src=""static/bokeh_js/DAL_MSY.js""
    id=""e15c70e1-debd-401d-8af7-4396b5ebc042""
    data-bokeh-model-id=""1f6ba567-b197-4198-a5a4-4573167ab311""
    data-bokeh-doc-id=""e372f3e4-afcb-4272-ba31-e6de891c57d9""
></script>",TAG,
13.53,,,,DEP_DELAY,
7.0,,,,AVG_FLIGHTS,
23.08,,,,PERCENT_DELAYED,
13.17,,,,POS_ARR_DELAY,
13.17,23.08,Southwest Airlines ,,WN,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
