ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Washington,ORIGIN_CITY,
,,,Ronald Reagan Washington Natl,ORIGIN_NAME,
,,,Houston,DEST-CITY,
,,,George Bush Intercontinental,DEST_NAME,
,,,1942,DIST,
,,,"
<script
    src=""static/bokeh_js/DCA_IAH.js""
    id=""7b6064c2-fc7b-4d04-8c13-7a5a02074876""
    data-bokeh-model-id=""dca10477-5f56-4058-a207-54b961681487""
    data-bokeh-doc-id=""9965c2df-6fca-4e46-b9e8-92c5a8af92db""
></script>",TAG,
12.29,,,,DEP_DELAY,
6.0,,,,AVG_FLIGHTS,
18.21,,,,PERCENT_DELAYED,
11.98,,,,POS_ARR_DELAY,
27.2,30.0,SkyWest Airlines ,,OO,0.15
11.96,18.19,United Air Lines ,,UA,99.85
0.0,,,,,
0.0,,,,,
0.0,,,,,
