ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Washington,ORIGIN_CITY,
,,,Ronald Reagan Washington Natl,ORIGIN_NAME,
,,,Los Angeles,DEST-CITY,
,,,Los Angeles Intl,DEST_NAME,
,,,3712,DIST,
,,,"
<script
    src=""static/bokeh_js/DCA_LAX.js""
    id=""429211e7-11e3-42d6-ab6c-97bfa3823066""
    data-bokeh-model-id=""433b206a-2742-4850-839a-a7d713a1019b""
    data-bokeh-doc-id=""0574b7a4-4e6d-4f07-8e45-71f04ccca82f""
></script>",TAG,
8.17,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
17.29,,,,PERCENT_DELAYED,
10.06,,,,POS_ARR_DELAY,
11.93,21.5,American Airlines ,,AA,63.57
6.81,9.95,Alaska Airlines ,,AS,36.43
0.0,,,,,
0.0,,,,,
0.0,,,,,
