ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Dallas-Fort Worth,ORIGIN_CITY,
,,,Dallas Fort Worth Intl,ORIGIN_NAME,
,,,Columbus,DEST-CITY,
,,,Port Columbus Intl,DEST_NAME,
,,,1489,DIST,
,,,"
<script
    src=""static/bokeh_js/DFW_CMH.js""
    id=""2b4e1179-a104-4a6b-abbf-25579a7b4308""
    data-bokeh-model-id=""c7c79b93-c683-4f5c-9500-1cc6b21a2cf5""
    data-bokeh-doc-id=""eacf4e9f-dfd9-4cb7-bae8-7623490db894""
></script>",TAG,
14.87,,,,DEP_DELAY,
4.0,,,,AVG_FLIGHTS,
23.19,,,,PERCENT_DELAYED,
14.21,,,,POS_ARR_DELAY,
14.21,23.19,American Airlines ,,AA,99.89
10.0,20.0,Envoy Air,,MQ,0.11
0.0,,,,,
0.0,,,,,
0.0,,,,,
