ARR_DELAY,DELAY_15,TEXT_DATA,UNIQUE_CARRIER,count,Description
,,Dallas-Fort Worth,ORIGIN_CITY,,
,,Dallas Fort Worth Intl,ORIGIN_NAME,,
,,Chicago,DEST-CITY,,
,,Chicago Ohare Intl,DEST_NAME,,
,,1291,DIST,,
,,"
<script
    src=""static/bokeh_js/DFW_ORD.js""
    id=""9750bde6-dba0-470f-aebe-22e2f6be8cf5""
    data-bokeh-model-id=""84d598df-6dff-4ab5-b670-c75cb1a9bccc""
    data-bokeh-doc-id=""c8cf2252-2be6-4eeb-a4b3-8cd9908e2a89""
></script>",TAG,,
16.4,,,DEP_DELAY,,
21.0,,,AVG_FLIGHTS,,
25.39,,,PERCENT_DELAYED,,
17.12,,,POS_ARR_DELAY,,
19.45,31.14,,NK,5.06,Spirit Air Lines
20.16,28.33,,OO,12.47,SkyWest Airlines 
16.7,25.27,,AA,73.21,American Airlines 
15.17,19.23,,UA,8.94,United Air Lines 
11.62,17.81,,YV,0.32,Mesa Airlines 
