ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Newark,ORIGIN_CITY,
,,,Newark Liberty Intl,ORIGIN_NAME,
,,,Houston,DEST-CITY,
,,,William P Hobby,DEST_NAME,
,,,2270,DIST,
,,,"
<script
    src=""static/bokeh_js/EWR_HOU.js""
    id=""b33bf466-bd61-4888-9c6f-4327bbf5197c""
    data-bokeh-model-id=""8e675fa4-967d-426d-b20e-a211213bb3ca""
    data-bokeh-doc-id=""1bb776b1-0e7f-49f5-ab99-39e618397526""
></script>",TAG,
16.43,,,,DEP_DELAY,
2.0,,,,AVG_FLIGHTS,
22.14,,,,PERCENT_DELAYED,
15.17,,,,POS_ARR_DELAY,
15.17,22.14,Southwest Airlines ,,WN,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
