ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Fort Lauderdale,ORIGIN_CITY,
,,,Fort Lauderdale Hollywood Intl,ORIGIN_NAME,
,,,Baltimore,DEST-CITY,
,,,Baltimore Washington Intl,DEST_NAME,
,,,1493,DIST,
,,,"
<script
    src=""static/bokeh_js/FLL_BWI.js""
    id=""ae702783-dd16-4435-baaa-7d7dff94c90f""
    data-bokeh-model-id=""0d6e1fea-18c6-497b-9350-1bbc83ebabf4""
    data-bokeh-doc-id=""4e67e5c2-9130-4a0e-88ed-4a2766b8c690""
></script>",TAG,
15.02,,,,DEP_DELAY,
11.0,,,,AVG_FLIGHTS,
19.88,,,,PERCENT_DELAYED,
13.2,,,,POS_ARR_DELAY,
23.0,29.87,JetBlue Airways,,B6,3.78
18.52,24.84,Spirit Air Lines,,NK,11.53
12.37,19.34,Southwest Airlines ,,WN,76.31
9.07,13.48,AirTran Airways Corporation,,FL,8.38
0.0,,,,,
