ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Fort Lauderdale,ORIGIN_CITY,
,,,Fort Lauderdale Hollywood Intl,ORIGIN_NAME,
,,,Dallas,DEST-CITY,
,,,Dallas Love Fld,DEST_NAME,
,,,1781,DIST,
,,,"
<script
    src=""static/bokeh_js/FLL_DAL.js""
    id=""2ba3ac07-4bf7-4ff8-9708-df9533536c93""
    data-bokeh-model-id=""577ec862-8f99-489e-afd8-6e2a00d5df8d""
    data-bokeh-doc-id=""bb9aeaea-81bd-4c16-a84e-874b6d39b45c""
></script>",TAG,
11.16,,,,DEP_DELAY,
2.0,,,,AVG_FLIGHTS,
14.64,,,,PERCENT_DELAYED,
9.48,,,,POS_ARR_DELAY,
9.48,14.64,Southwest Airlines ,,WN,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
