ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Fort Lauderdale,ORIGIN_CITY,
,,,Fort Lauderdale Hollywood Intl,ORIGIN_NAME,
,,,Denver,DEST-CITY,
,,,Denver Intl,DEST_NAME,
,,,2740,DIST,
,,,"
<script
    src=""static/bokeh_js/FLL_DEN.js""
    id=""d6d84650-bceb-48f0-967b-13db33c3889d""
    data-bokeh-model-id=""e7ac13df-1bd8-4640-a57f-93224754c2eb""
    data-bokeh-doc-id=""7ef350b2-a02e-4119-823a-abc687b8602e""
></script>",TAG,
11.21,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
17.06,,,,PERCENT_DELAYED,
10.36,,,,POS_ARR_DELAY,
13.59,23.37,Spirit Air Lines,,NK,16.17
11.26,20.04,Frontier Airlines ,,F9,13.07
11.51,17.09,United Air Lines ,,UA,27.81
8.12,13.76,Southwest Airlines ,,WN,42.95
0.0,,,,,
