ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Fort Lauderdale,ORIGIN_CITY,
,,,Fort Lauderdale Hollywood Intl,ORIGIN_NAME,
,,,Chicago,DEST-CITY,
,,,Chicago Midway Intl,DEST_NAME,
,,,1881,DIST,
,,,"
<script
    src=""static/bokeh_js/FLL_MDW.js""
    id=""c2df5d76-602c-4f85-8723-3cfe0a718671""
    data-bokeh-model-id=""08c23ad4-619b-40c4-8bbe-26c84bb94e6e""
    data-bokeh-doc-id=""bd973534-5302-4c8d-9678-900f5289ecdc""
></script>",TAG,
13.6,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
19.82,,,,PERCENT_DELAYED,
12.11,,,,POS_ARR_DELAY,
12.18,19.96,Southwest Airlines ,,WN,98.33
8.03,11.67,AirTran Airways Corporation,,FL,1.67
0.0,,,,,
0.0,,,,,
0.0,,,,,
