ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Houston,ORIGIN_CITY,
,,,William P Hobby,ORIGIN_NAME,
,,,Orlando,DEST-CITY,
,,,Orlando Intl,DEST_NAME,
,,,1364,DIST,
,,,"
<script
    src=""static/bokeh_js/HOU_MCO.js""
    id=""90b903f4-be49-45e3-89a6-a4aac2051604""
    data-bokeh-model-id=""6192e524-d6e0-451e-ade6-24563d0dd3e4""
    data-bokeh-doc-id=""49b14f32-3e82-47fb-a278-8a7bb4858aee""
></script>",TAG,
16.79,,,,DEP_DELAY,
4.0,,,,AVG_FLIGHTS,
28.29,,,,PERCENT_DELAYED,
15.27,,,,POS_ARR_DELAY,
15.38,28.47,Southwest Airlines ,,WN,99.22
1.71,5.71,AirTran Airways Corporation,,FL,0.78
0.0,,,,,
0.0,,,,,
0.0,,,,,
