ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Houston,ORIGIN_CITY,
,,,George Bush Intercontinental,ORIGIN_NAME,
,,,San Jose,DEST-CITY,
,,,Norman Y Mineta San Jose Intl,DEST_NAME,
,,,2584,DIST,
,,,"
<script
    src=""static/bokeh_js/IAH_SJC.js""
    id=""900f130c-a039-442d-8896-4ef3e602c1c7""
    data-bokeh-model-id=""841fdf39-9028-4e0f-be24-b143f90519dc""
    data-bokeh-doc-id=""6f9b399d-b480-487b-a2c6-a75f70495c6d""
></script>",TAG,
12.29,,,,DEP_DELAY,
1.0,,,,AVG_FLIGHTS,
16.86,,,,PERCENT_DELAYED,
10.75,,,,POS_ARR_DELAY,
10.75,16.86,United Air Lines ,,UA,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
