ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Indianapolis,ORIGIN_CITY,
,,,Indianapolis Intl,ORIGIN_NAME,
,,,Orlando,DEST-CITY,
,,,Orlando Intl,DEST_NAME,
,,,1336,DIST,
,,,"
<script
    src=""static/bokeh_js/IND_MCO.js""
    id=""7b1fd8e6-aaa3-4ea8-bb1f-3a306b520044""
    data-bokeh-model-id=""8d64c616-5dc8-4456-98b1-cb2c0b74bbf7""
    data-bokeh-doc-id=""71f9c2c9-ed0f-4e3f-b576-8098892d5e61""
></script>",TAG,
12.04,,,,DEP_DELAY,
4.0,,,,AVG_FLIGHTS,
18.77,,,,PERCENT_DELAYED,
12.11,,,,POS_ARR_DELAY,
19.79,22.0,Frontier Airlines ,,F9,5.88
12.33,19.47,Southwest Airlines ,,WN,73.42
9.3,15.59,AirTran Airways Corporation,,FL,20.37
0.14,0.0,Delta Air Lines ,,DL,0.33
0.0,,,,,
