ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,New York,ORIGIN_CITY,
,,,John F Kennedy Intl,ORIGIN_NAME,
,,,Columbus,DEST-CITY,
,,,Port Columbus Intl,DEST_NAME,
,,,776,DIST,
,,,"
<script
    src=""static/bokeh_js/JFK_CMH.js""
    id=""41f0a547-8605-495e-bcd2-ab2797fcf8ac""
    data-bokeh-model-id=""7373a27e-9b1d-465f-862b-0aa56a1a95bf""
    data-bokeh-doc-id=""1c0ffd7a-966c-471b-af42-9d6ebd288ddd""
></script>",TAG,
16.25,,,,DEP_DELAY,
1.0,,,,AVG_FLIGHTS,
29.36,,,,PERCENT_DELAYED,
19.66,,,,POS_ARR_DELAY,
19.66,29.36,Envoy Air,,MQ,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
