ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,New York,ORIGIN_CITY,
,,,John F Kennedy Intl,ORIGIN_NAME,
,,,Dallas-Fort Worth,DEST-CITY,
,,,Dallas Fort Worth Intl,DEST_NAME,
,,,2236,DIST,
,,,"
<script
    src=""static/bokeh_js/JFK_DFW.js""
    id=""687e0419-e907-452d-bec1-a43f2761c193""
    data-bokeh-model-id=""91b5e4c4-d065-49bd-b5c0-5fbf73819114""
    data-bokeh-doc-id=""1a90a62e-608b-4bed-bc7f-19625a53db16""
></script>",TAG,
10.94,,,,DEP_DELAY,
2.0,,,,AVG_FLIGHTS,
19.33,,,,PERCENT_DELAYED,
11.57,,,,POS_ARR_DELAY,
14.61,27.03,Endeavor Air ,,9E,6.33
11.38,18.82,American Airlines ,,AA,93.61
0.0,0.0,Delta Air Lines ,,DL,0.06
0.0,,,,,
0.0,,,,,
