ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,New York,ORIGIN_CITY,
,,,John F Kennedy Intl,ORIGIN_NAME,
,,,Detroit,DEST-CITY,
,,,Detroit Metro Wayne Co,DEST_NAME,
,,,817,DIST,
,,,"
<script
    src=""static/bokeh_js/JFK_DTW.js""
    id=""2bb79ffd-5809-4924-a3d6-b32503cd1d24""
    data-bokeh-model-id=""284c8e74-4fcd-4019-a0a4-6c6341f9fdde""
    data-bokeh-doc-id=""c4bae5c7-f92a-4d82-b1b9-35b58929592c""
></script>",TAG,
16.22,,,,DEP_DELAY,
1.0,,,,AVG_FLIGHTS,
19.15,,,,PERCENT_DELAYED,
14.69,,,,POS_ARR_DELAY,
15.99,20.17,Delta Air Lines ,,DL,80.09
9.48,15.02,Endeavor Air ,,9E,19.91
0.0,,,,,
0.0,,,,,
0.0,,,,,
