ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,New York,ORIGIN_CITY,
,,,John F Kennedy Intl,ORIGIN_NAME,
,,,Philadelphia,DEST-CITY,
,,,Philadelphia Intl,DEST_NAME,
,,,151,DIST,
,,,"
<script
    src=""static/bokeh_js/JFK_PHL.js""
    id=""5c4d5e2e-0d47-428d-b0a5-8048be86b6a2""
    data-bokeh-model-id=""0048af90-93e0-4054-9f4a-2768a3f1f8c6""
    data-bokeh-doc-id=""f04bd701-d66b-4bc2-a8d5-43d7d5c43b5b""
></script>",TAG,
13.2,,,,DEP_DELAY,
0.0,,,,AVG_FLIGHTS,
18.44,,,,PERCENT_DELAYED,
12.18,,,,POS_ARR_DELAY,
12.61,19.08,Endeavor Air ,,9E,96.65
0.0,0.0,Delta Air Lines ,,DL,3.35
0.0,,,,,
0.0,,,,,
0.0,,,,,
