ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,New York,ORIGIN_CITY,
,,,La Guardia,ORIGIN_NAME,
,,,Tampa,DEST-CITY,
,,,Tampa Intl,DEST_NAME,
,,,1629,DIST,
,,,"
<script
    src=""static/bokeh_js/LGA_TPA.js""
    id=""9cda8b8c-25f3-4a95-86b2-c0b8ce902073""
    data-bokeh-model-id=""f0459ddc-ebcf-4433-b0a6-2693efd427ba""
    data-bokeh-doc-id=""1833ada0-20d7-4bcb-bbd2-8c6a9512f0b9""
></script>",TAG,
15.02,,,,DEP_DELAY,
6.0,,,,AVG_FLIGHTS,
20.71,,,,PERCENT_DELAYED,
14.97,,,,POS_ARR_DELAY,
17.03,22.52,JetBlue Airways,,B6,30.63
14.06,19.9,Delta Air Lines ,,DL,69.37
0.0,,,,,
0.0,,,,,
0.0,,,,,
