ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Miami,ORIGIN_CITY,
,,,Miami Intl,ORIGIN_NAME,
,,,Phoenix,DEST-CITY,
,,,Phoenix Sky Harbor Intl,DEST_NAME,
,,,3169,DIST,
,,,"
<script
    src=""static/bokeh_js/MIA_PHX.js""
    id=""8c09b59a-3794-4a3d-a93e-c7ff50609ff2""
    data-bokeh-model-id=""4595246f-acd8-40d5-baf3-e4cb1d6389de""
    data-bokeh-doc-id=""1637154b-e8bb-4b92-b79d-e18869f22a25""
></script>",TAG,
12.41,,,,DEP_DELAY,
2.0,,,,AVG_FLIGHTS,
18.04,,,,PERCENT_DELAYED,
11.1,,,,POS_ARR_DELAY,
11.1,18.04,American Airlines ,,AA,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
