ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Miami,ORIGIN_CITY,
,,,Miami Intl,ORIGIN_NAME,
,,,St. Louis,DEST-CITY,
,,,Lambert St Louis Intl,DEST_NAME,
,,,1722,DIST,
,,,"
<script
    src=""static/bokeh_js/MIA_STL.js""
    id=""9222738a-a9e5-473d-836b-dcd2604cc676""
    data-bokeh-model-id=""9a6bb2a6-a29b-4530-baef-1a2033558b1f""
    data-bokeh-doc-id=""63a28413-045b-4e99-b4ea-0de399e1c42b""
></script>",TAG,
15.76,,,,DEP_DELAY,
2.0,,,,AVG_FLIGHTS,
28.35,,,,PERCENT_DELAYED,
17.33,,,,POS_ARR_DELAY,
17.33,28.35,American Airlines ,,AA,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
