ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Minneapolis,ORIGIN_CITY,
,,,Minneapolis St Paul Intl,ORIGIN_NAME,
,,,Tampa,DEST-CITY,
,,,Tampa Intl,DEST_NAME,
,,,2105,DIST,
,,,"
<script
    src=""static/bokeh_js/MSP_TPA.js""
    id=""95562e56-6f9c-4d01-b2f3-02f32e640ef0""
    data-bokeh-model-id=""a9541fa8-8361-41d4-bcad-dbe9a2dc531f""
    data-bokeh-doc-id=""c947e760-5d33-4acf-8641-efd670da1f18""
></script>",TAG,
7.54,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
14.44,,,,PERCENT_DELAYED,
8.47,,,,POS_ARR_DELAY,
41.62,43.75,Southwest Airlines ,,WN,0.5
19.39,30.74,Spirit Air Lines,,NK,8.08
15.0,20.0,AirTran Airways Corporation,,FL,0.16
7.3,12.82,Delta Air Lines ,,DL,91.26
0.0,,,,,
