ARR_DELAY,DELAY_15,TEXT_DATA,UNIQUE_CARRIER,count,Description
,,Chicago,ORIGIN_CITY,,
,,Chicago Ohare Intl,ORIGIN_NAME,,
,,Miami,DEST-CITY,,
,,Miami Intl,DEST_NAME,,
,,1931,DIST,,
,,"
<script
    src=""static/bokeh_js/ORD_MIA.js""
    id=""a447fc71-70a6-4b1b-876f-b018f05eebd8""
    data-bokeh-model-id=""b4ece379-bd4a-4989-8f39-7e9d29a82ac6""
    data-bokeh-doc-id=""9d9b81cc-5fbf-421d-a112-9bfba18014c7""
></script>",TAG,,
17.34,,,DEP_DELAY,,
11.0,,,AVG_FLIGHTS,,
23.92,,,PERCENT_DELAYED,,
17.12,,,POS_ARR_DELAY,,
24.86,36.56,,OO,2.28,SkyWest Airlines 
16.64,23.87,,UA,9.07,United Air Lines 
14.02,23.81,,YV,1.03,Mesa Airlines 
17.03,23.79,,AA,83.23,American Airlines 
16.6,20.11,,F9,4.39,Frontier Airlines 
