ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Chicago,ORIGIN_CITY,
,,,Chicago Ohare Intl,ORIGIN_NAME,
,,,San Juan,DEST-CITY,
,,,Luis Munoz Marin Intl,DEST_NAME,
,,,3339,DIST,
,,,"
<script
    src=""static/bokeh_js/ORD_SJU.js""
    id=""6863dcc3-8dcc-4c10-abc0-fe02c14202f7""
    data-bokeh-model-id=""1e463d1e-19c7-4228-a111-bf4ef1cccdd8""
    data-bokeh-doc-id=""c789faeb-ff64-4017-96d0-5e6e891a094b""
></script>",TAG,
11.42,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
19.75,,,,PERCENT_DELAYED,
11.36,,,,POS_ARR_DELAY,
12.88,22.11,JetBlue Airways,,B6,30.94
11.54,20.3,United Air Lines ,,UA,35.23
9.78,17.0,American Airlines ,,AA,33.83
0.0,,,,,
0.0,,,,,
