ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Portland,ORIGIN_CITY,
,,,Portland Intl,ORIGIN_NAME,
,,,Detroit,DEST-CITY,
,,,Detroit Metro Wayne Co,DEST_NAME,
,,,3136,DIST,
,,,"
<script
    src=""static/bokeh_js/PDX_DTW.js""
    id=""47baf03f-ff76-4830-ae88-29c07c64641c""
    data-bokeh-model-id=""4567f273-7cc1-4d50-90d9-a2065222b044""
    data-bokeh-doc-id=""1572d558-e06f-42f0-b1e5-92477e1147cc""
></script>",TAG,
8.76,,,,DEP_DELAY,
1.0,,,,AVG_FLIGHTS,
12.41,,,,PERCENT_DELAYED,
8.77,,,,POS_ARR_DELAY,
8.77,12.41,Delta Air Lines ,,DL,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
