ARR_DELAY,DELAY_15,TEXT_DATA,UNIQUE_CARRIER,count,Description
,,Philadelphia,ORIGIN_CITY,,
,,Philadelphia Intl,ORIGIN_NAME,,
,,Houston,DEST-CITY,,
,,George Bush Intercontinental,DEST_NAME,,
,,2130,DIST,,
,,"
<script
    src=""static/bokeh_js/PHL_IAH.js""
    id=""81cd921b-69e7-4923-97f4-c455072097e3""
    data-bokeh-model-id=""4b22b858-195e-4cbe-bddf-c4ba8e055e19""
    data-bokeh-doc-id=""4c4c890e-0890-49d7-909c-4096d522eefb""
></script>",TAG,,
13.27,,,DEP_DELAY,,
6.0,,,AVG_FLIGHTS,,
21.14,,,PERCENT_DELAYED,,
14.15,,,POS_ARR_DELAY,,
24.12,35.08,,F9,3.86,Frontier Airlines 
14.95,25.0,,OO,0.31,SkyWest Airlines 
12.56,21.93,,US,32.86,US Airways 
11.86,19.89,,AA,11.27,American Airlines 
14.91,19.84,,UA,51.69,United Air Lines 
