ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Philadelphia,ORIGIN_CITY,
,,,Philadelphia Intl,ORIGIN_NAME,
,,,Milwaukee,DEST-CITY,
,,,General Mitchell Intl,DEST_NAME,
,,,1108,DIST,
,,,"
<script
    src=""static/bokeh_js/PHL_MKE.js""
    id=""ba93274a-09a4-49fa-a951-e4bb9bc4ddba""
    data-bokeh-model-id=""b111a018-1579-423e-9def-905dc7dbc0e1""
    data-bokeh-doc-id=""498e568a-ac72-4d25-bd62-2dd7ca149a0a""
></script>",TAG,
13.33,,,,DEP_DELAY,
0.0,,,,AVG_FLIGHTS,
5.13,,,,PERCENT_DELAYED,
14.33,,,,POS_ARR_DELAY,
14.33,5.13,Frontier Airlines ,,F9,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
