ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Phoenix,ORIGIN_CITY,
,,,Phoenix Sky Harbor Intl,ORIGIN_NAME,
,,,Baltimore,DEST-CITY,
,,,Baltimore Washington Intl,DEST_NAME,
,,,3211,DIST,
,,,"
<script
    src=""static/bokeh_js/PHX_BWI.js""
    id=""73f58399-8b32-47ea-a859-9e580bdb7790""
    data-bokeh-model-id=""d94db6fe-168d-4646-b5b6-6b74b93ffde0""
    data-bokeh-doc-id=""11081b57-44a6-4c98-9eb2-f7f14c885d72""
></script>",TAG,
12.59,,,,DEP_DELAY,
5.0,,,,AVG_FLIGHTS,
21.95,,,,PERCENT_DELAYED,
11.87,,,,POS_ARR_DELAY,
15.9,26.35,American Airlines ,,AA,18.71
11.65,21.93,Southwest Airlines ,,WN,51.9
9.7,19.16,US Airways ,,US,29.39
0.0,,,,,
0.0,,,,,
