ARR_DELAY,DELAY_15,TEXT_DATA,UNIQUE_CARRIER,count,Description
,,Phoenix,ORIGIN_CITY,,
,,Phoenix Sky Harbor Intl,ORIGIN_NAME,,
,,Portland,DEST-CITY,,
,,Portland Intl,DEST_NAME,,
,,1626,DIST,,
,,"
<script
    src=""static/bokeh_js/PHX_PDX.js""
    id=""32d0b2b2-a1f8-46db-8726-0bfb91b26a32""
    data-bokeh-model-id=""cffadefb-7037-4543-894f-25b351ed745d""
    data-bokeh-doc-id=""5766119a-eb5b-4967-9a4d-1812b46d9412""
></script>",TAG,,
10.88,,,DEP_DELAY,,
9.0,,,AVG_FLIGHTS,,
19.18,,,PERCENT_DELAYED,,
10.54,,,POS_ARR_DELAY,,
9.85,29.63,,F9,0.27,Frontier Airlines 
14.01,27.84,,WN,32.14,Southwest Airlines 
11.0,18.08,,AA,19.17,American Airlines 
9.18,16.95,,US,32.86,US Airways 
5.66,7.19,,AS,15.57,Alaska Airlines 
