ARR_DELAY,DELAY_15,TEXT_DATA,UNIQUE_CARRIER,count,Description
,,Phoenix,ORIGIN_CITY,,
,,Phoenix Sky Harbor Intl,ORIGIN_NAME,,
,,San Jose,DEST-CITY,,
,,Norman Y Mineta San Jose Intl,DEST_NAME,,
,,999,DIST,,
,,"
<script
    src=""static/bokeh_js/PHX_SJC.js""
    id=""bfeff1da-f747-44b7-8ab9-2d1112406c2d""
    data-bokeh-model-id=""717237e6-0209-41b2-b2bf-a02d82b60220""
    data-bokeh-doc-id=""3422e447-2859-4380-9c77-76e9de522679""
></script>",TAG,,
10.05,,,DEP_DELAY,,
9.0,,,AVG_FLIGHTS,,
18.25,,,PERCENT_DELAYED,,
9.64,,,POS_ARR_DELAY,,
12.18,23.74,,WN,50.21,Southwest Airlines 
8.38,13.47,,AA,19.71,American Airlines 
6.23,12.24,,US,30.04,US Airways 
5.0,0.0,,YV,0.02,Mesa Airlines 
10.0,0.0,,OO,0.01,SkyWest Airlines 
