ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Pittsburgh,ORIGIN_CITY,
,,,Pittsburgh Intl,ORIGIN_NAME,
,,,Newark,DEST-CITY,
,,,Newark Liberty Intl,DEST_NAME,
,,,513,DIST,
,,,"
<script
    src=""static/bokeh_js/PIT_EWR.js""
    id=""9d2f7018-6609-46e1-9f3d-c08ff9f6308f""
    data-bokeh-model-id=""82212f26-e38f-499a-8044-b1145e29a0b9""
    data-bokeh-doc-id=""2f96a390-d8bf-42f8-8fdc-a3b91cf95e86""
></script>",TAG,
13.02,,,,DEP_DELAY,
1.0,,,,AVG_FLIGHTS,
21.59,,,,PERCENT_DELAYED,
13.88,,,,POS_ARR_DELAY,
13.88,21.59,ExpressJet Airlines ,,EV,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
