ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Raleigh-durham,ORIGIN_CITY,
,,,Raleigh Durham Intl,ORIGIN_NAME,
,,,San Francisco,DEST-CITY,
,,,San Francisco Intl,DEST_NAME,
,,,3854,DIST,
,,,"
<script
    src=""static/bokeh_js/RDU_SFO.js""
    id=""a54af895-6ff9-4bfc-a7ac-97626f1de4c8""
    data-bokeh-model-id=""be5a1187-9c77-4d76-8830-d780d4ea2369""
    data-bokeh-doc-id=""69f14981-67ef-44d1-ae7f-03cb18ff47c6""
></script>",TAG,
12.98,,,,DEP_DELAY,
1.0,,,,AVG_FLIGHTS,
16.14,,,,PERCENT_DELAYED,
10.63,,,,POS_ARR_DELAY,
10.63,16.14,United Air Lines ,,UA,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
