ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,San Diego,ORIGIN_CITY,
,,,San Diego Intl,ORIGIN_NAME,
,,,Chicago,DEST-CITY,
,,,Chicago Midway Intl,DEST_NAME,
,,,2777,DIST,
,,,"
<script
    src=""static/bokeh_js/SAN_MDW.js""
    id=""a312237f-38eb-4e2c-a673-766f6698c6ac""
    data-bokeh-model-id=""41dc108d-0a57-4479-b472-7574695a5853""
    data-bokeh-doc-id=""ad88ea8e-1ba0-4040-809b-0bc680b409e3""
></script>",TAG,
9.86,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
15.17,,,,PERCENT_DELAYED,
8.26,,,,POS_ARR_DELAY,
8.26,15.17,Southwest Airlines ,,WN,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
