ARR_DELAY,DELAY_15,TEXT_DATA,UNIQUE_CARRIER,count,Description
,,Seattle,ORIGIN_CITY,,
,,Seattle Tacoma Intl,ORIGIN_NAME,,
,,Las Vegas,DEST-CITY,,
,,Mc Carran Intl,DEST_NAME,,
,,1396,DIST,,
,,"
<script
    src=""static/bokeh_js/SEA_LAS.js""
    id=""a59e154b-97ca-43a9-9f1e-a3a7c1a36431""
    data-bokeh-model-id=""3f054911-6f10-42e7-98e4-21a63012b73d""
    data-bokeh-doc-id=""99804ff1-97c9-4c4d-b729-5d1a4d60a76f""
></script>",TAG,,
7.96,,,DEP_DELAY,,
15.0,,,AVG_FLIGHTS,,
15.13,,,PERCENT_DELAYED,,
8.61,,,POS_ARR_DELAY,,
12.65,22.92,,WN,23.31,Southwest Airlines 
11.18,21.77,,NK,1.6,Spirit Air Lines
9.58,14.59,,OO,14.11,SkyWest Airlines 
10.28,13.32,,DL,7.33,Delta Air Lines 
6.29,11.93,,AS,53.65,Alaska Airlines 
