ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,San Francisco,ORIGIN_CITY,
,,,San Francisco Intl,ORIGIN_NAME,
,,,Boston,DEST-CITY,
,,,General Edward Lawrence Logan Intl,DEST_NAME,
,,,4342,DIST,
,,,"
<script
    src=""static/bokeh_js/SFO_BOS.js""
    id=""31fc25de-a229-439a-9cfb-89c3857f3597""
    data-bokeh-model-id=""3d9d5522-e57a-484a-b109-2935bddbb887""
    data-bokeh-doc-id=""6667638d-d04b-4c3f-a8da-373a609224a8""
></script>",TAG,
14.03,,,,DEP_DELAY,
12.0,,,,AVG_FLIGHTS,
20.63,,,,PERCENT_DELAYED,
12.61,,,,POS_ARR_DELAY,
14.54,23.75,JetBlue Airways,,B6,24.28
13.66,21.37,United Air Lines ,,UA,54.87
7.59,15.06,Virgin America,,VX,20.84
0.0,,,,,
0.0,,,,,
