ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,San Jose,ORIGIN_CITY,
,,,Norman Y Mineta San Jose Intl,ORIGIN_NAME,
,,,Santa Ana,DEST-CITY,
,,,John Wayne Arpt Orange Co,DEST_NAME,
,,,551,DIST,
,,,"
<script
    src=""static/bokeh_js/SJC_SNA.js""
    id=""7f81a0a1-711f-4430-b4d4-bf01709ebd1e""
    data-bokeh-model-id=""e94c8e79-5e1d-4e3e-aea1-684474d2babd""
    data-bokeh-doc-id=""c80f26d2-0b21-43e4-a1cc-ada60979b816""
></script>",TAG,
8.72,,,,DEP_DELAY,
8.0,,,,AVG_FLIGHTS,
15.32,,,,PERCENT_DELAYED,
7.47,,,,POS_ARR_DELAY,
7.51,15.55,Southwest Airlines ,,WN,97.17
5.88,7.51,SkyWest Airlines ,,OO,2.83
0.0,,,,,
0.0,,,,,
0.0,,,,,
