ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,San Juan,ORIGIN_CITY,
,,,Luis Munoz Marin Intl,ORIGIN_NAME,
,,,Houston,DEST-CITY,
,,,William P Hobby,DEST_NAME,
,,,3212,DIST,
,,,"
<script
    src=""static/bokeh_js/SJU_HOU.js""
    id=""dc59a655-3543-4e0e-8859-e13554c34aca""
    data-bokeh-model-id=""06668c02-0989-4218-bfad-50d64a5fa0b8""
    data-bokeh-doc-id=""e8bea93f-1910-42b7-963c-0adf0aaa4e82""
></script>",TAG,
10.24,,,,DEP_DELAY,
0.0,,,,AVG_FLIGHTS,
14.29,,,,PERCENT_DELAYED,
8.5,,,,POS_ARR_DELAY,
8.5,14.29,Southwest Airlines ,,WN,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
