ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Salt Lake City,ORIGIN_CITY,
,,,Salt Lake City Intl,ORIGIN_NAME,
,,,Honolulu,DEST-CITY,
,,,Honolulu Intl,DEST_NAME,
,,,4815,DIST,
,,,"
<script
    src=""static/bokeh_js/SLC_HNL.js""
    id=""a86f0c86-d5e8-44d5-b477-017290824f9c""
    data-bokeh-model-id=""e4d620e5-f5b7-48a8-8f84-52216d778e80""
    data-bokeh-doc-id=""64007c06-a1f5-429b-baa2-12318d73e24a""
></script>",TAG,
10.54,,,,DEP_DELAY,
1.0,,,,AVG_FLIGHTS,
13.8,,,,PERCENT_DELAYED,
11.27,,,,POS_ARR_DELAY,
11.27,13.8,Delta Air Lines ,,DL,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
