ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Salt Lake City,ORIGIN_CITY,
,,,Salt Lake City Intl,ORIGIN_NAME,
,,,Sacramento,DEST-CITY,
,,,Sacramento Intl,DEST_NAME,
,,,854,DIST,
,,,"
<script
    src=""static/bokeh_js/SLC_SMF.js""
    id=""707129d5-0ec7-4b1a-9397-99e981abd59c""
    data-bokeh-model-id=""cd028291-db46-4624-ab4f-b17761fa8b51""
    data-bokeh-doc-id=""c7999691-1247-4f44-958b-8a648f37eea4""
></script>",TAG,
6.24,,,,DEP_DELAY,
4.0,,,,AVG_FLIGHTS,
10.4,,,,PERCENT_DELAYED,
6.26,,,,POS_ARR_DELAY,
6.65,11.17,Delta Air Lines ,,DL,44.38
5.94,9.78,SkyWest Airlines ,,OO,55.62
0.0,,,,,
0.0,,,,,
0.0,,,,,
