ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Sacramento,ORIGIN_CITY,
,,,Sacramento Intl,ORIGIN_NAME,
,,,Philadelphia,DEST-CITY,
,,,Philadelphia Intl,DEST_NAME,
,,,3947,DIST,
,,,"
<script
    src=""static/bokeh_js/SMF_PHL.js""
    id=""a4e6f997-2c82-4715-86da-7692ac56a613""
    data-bokeh-model-id=""03c0c623-9ab7-42e8-9a0c-a3d45b4a7f8c""
    data-bokeh-doc-id=""eb42f26f-81b8-4eb3-b5df-bbac5a587f0c""
></script>",TAG,
12.71,,,,DEP_DELAY,
0.0,,,,AVG_FLIGHTS,
22.88,,,,PERCENT_DELAYED,
12.04,,,,POS_ARR_DELAY,
14.36,27.62,US Airways ,,US,68.63
6.96,12.5,American Airlines ,,AA,31.37
0.0,,,,,
0.0,,,,,
0.0,,,,,
