ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Santa Ana,ORIGIN_CITY,
,,,John Wayne Arpt Orange Co,ORIGIN_NAME,
,,,Minneapolis,DEST-CITY,
,,,Minneapolis St Paul Intl,DEST_NAME,
,,,2446,DIST,
,,,"
<script
    src=""static/bokeh_js/SNA_MSP.js""
    id=""893ab4c3-d8e0-4b3c-8b1a-376c60eec6e3""
    data-bokeh-model-id=""b66d3847-a6b3-43e8-8da1-554a6efece52""
    data-bokeh-doc-id=""f3c0bd5f-e9f9-437a-bf70-8a4102ae5a0e""
></script>",TAG,
5.22,,,,DEP_DELAY,
3.0,,,,AVG_FLIGHTS,
8.0,,,,PERCENT_DELAYED,
5.72,,,,POS_ARR_DELAY,
5.72,8.0,Delta Air Lines ,,DL,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
