ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Santa Ana,ORIGIN_CITY,
,,,John Wayne Arpt Orange Co,ORIGIN_NAME,
,,,Phoenix,DEST-CITY,
,,,Phoenix Sky Harbor Intl,DEST_NAME,
,,,543,DIST,
,,,"
<script
    src=""static/bokeh_js/SNA_PHX.js""
    id=""c3d04ee9-88b7-4604-add1-b32a3abb997b""
    data-bokeh-model-id=""da3f541e-0f7d-4fdd-b872-91d7d3f8f91e""
    data-bokeh-doc-id=""b8a31e2f-4f5b-46f1-91b0-272d0f295d07""
></script>",TAG,
7.03,,,,DEP_DELAY,
12.0,,,,AVG_FLIGHTS,
13.04,,,,PERCENT_DELAYED,
6.88,,,,POS_ARR_DELAY,
7.95,15.75,Southwest Airlines ,,WN,58.25
6.47,11.31,American Airlines ,,AA,18.58
4.52,7.61,US Airways ,,US,23.17
0.0,,,,,
0.0,,,,,
