ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Santa Ana,ORIGIN_CITY,
,,,John Wayne Arpt Orange Co,ORIGIN_NAME,
,,,San Jose,DEST-CITY,
,,,Norman Y Mineta San Jose Intl,DEST_NAME,
,,,551,DIST,
,,,"
<script
    src=""static/bokeh_js/SNA_SJC.js""
    id=""3fb84072-810d-4708-8aac-4f428b26febd""
    data-bokeh-model-id=""0f4bb429-c870-43b2-ba50-1294be973910""
    data-bokeh-doc-id=""7f863a57-3a98-42a6-9945-877bda48f246""
></script>",TAG,
9.2,,,,DEP_DELAY,
8.0,,,,AVG_FLIGHTS,
16.45,,,,PERCENT_DELAYED,
8.33,,,,POS_ARR_DELAY,
8.44,16.75,Southwest Airlines ,,WN,97.17
4.62,6.32,SkyWest Airlines ,,OO,2.83
0.0,,,,,
0.0,,,,,
0.0,,,,,
