ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,St. Louis,ORIGIN_CITY,
,,,Lambert St Louis Intl,ORIGIN_NAME,
,,,Boston,DEST-CITY,
,,,General Edward Lawrence Logan Intl,DEST_NAME,
,,,1681,DIST,
,,,"
<script
    src=""static/bokeh_js/STL_BOS.js""
    id=""ec135797-8569-40b7-a1bc-53847a6e0b2b""
    data-bokeh-model-id=""3987bcb5-f6b8-4d7d-b81e-1ec1bdc9f113""
    data-bokeh-doc-id=""ca08eca8-09f2-4ddf-9398-75610cae0d47""
></script>",TAG,
13.99,,,,DEP_DELAY,
2.0,,,,AVG_FLIGHTS,
20.95,,,,PERCENT_DELAYED,
12.28,,,,POS_ARR_DELAY,
12.28,20.95,Southwest Airlines ,,WN,100.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
