ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Tampa,ORIGIN_CITY,
,,,Tampa Intl,ORIGIN_NAME,
,,,Washington,DEST-CITY,
,,,Ronald Reagan Washington Natl,DEST_NAME,
,,,1312,DIST,
,,,"
<script
    src=""static/bokeh_js/TPA_DCA.js""
    id=""e960a910-9bdd-41d4-9921-1b57be82e19f""
    data-bokeh-model-id=""49f272b6-67c4-4d1c-ae7b-638cbb52f871""
    data-bokeh-doc-id=""e97c0633-d062-4f0e-b8d2-f0d4df9381ce""
></script>",TAG,
8.41,,,,DEP_DELAY,
7.0,,,,AVG_FLIGHTS,
14.05,,,,PERCENT_DELAYED,
9.01,,,,POS_ARR_DELAY,
9.44,15.8,American Airlines ,,AA,21.99
9.9,14.7,Southwest Airlines ,,WN,18.33
9.73,13.62,JetBlue Airways,,B6,23.93
7.81,12.92,US Airways ,,US,35.74
0.0,,,,,
