ARR_DELAY,DELAY_15,Description,TEXT_DATA,UNIQUE_CARRIER,count
,,,Tampa,ORIGIN_CITY,
,,,Tampa Intl,ORIGIN_NAME,
,,,Dallas-Fort Worth,DEST-CITY,
,,,Dallas Fort Worth Intl,DEST_NAME,
,,,1493,DIST,
,,,"
<script
    src=""static/bokeh_js/TPA_DFW.js""
    id=""cfb19293-82d3-4a53-9dcb-8dc9c81f81e1""
    data-bokeh-model-id=""c5274cea-1608-42ae-85b1-54e17243361b""
    data-bokeh-doc-id=""4c600172-17df-4f06-be29-64f3e84adf8c""
></script>",TAG,
14.03,,,,DEP_DELAY,
7.0,,,,AVG_FLIGHTS,
18.27,,,,PERCENT_DELAYED,
14.62,,,,POS_ARR_DELAY,
20.86,27.39,Spirit Air Lines,,NK,6.19
14.21,17.67,American Airlines ,,AA,93.81
0.0,,,,,
0.0,,,,,
0.0,,,,,
